brand,model_name,os,price,launch_year,gpu_score,cpu_score,screen_to_body_ratio,build_material,colors_available,warranty_years,bluetooth_version,wifi_version,chipset,ram_gb,storage_gb,display_size_inch,display_type,refresh_rate_hz,battery_mah,fast_charging_w,rear_camera_mp,front_camera_mp,camera_setup,weight_g,thickness_mm
OnePlus,OnePlus_6350,Android,106.55,2020,714,792,80.91,Glass,6,1,4.2,WiFi 6E,Dimensity 6020,3,128,6.03,LCD,60,3495,33,13,8,"Macro, Telephoto",207.9,7.08
Motorola,Motorola_7386,Android,204.27,2023,594,1795,91.68,Plastic,5,2,5,WiFi 5,Snapdragon 680,4,64,5.52,AMOLED,120,4527,25,13,16,"Wide, Ultra-Wide",185.3,9.41
Vivo,Vivo_5999,Android,67.06,2023,832,683,81.45,Metal,3,1,5,WiFi 5,Dimensity 6020,6,64,6.85,OLED,60,4882,100,50,8,"Telephoto, Wide",187.1,8.24
OnePlus,OnePlus_8469,Android,632.14,2018,5362,5104,79.43,Metal,4,1,4.2,WiFi 6,Snapdragon 778G,6,64,5.72,LCD,60,5355,25,108,32,"Ultra-Wide, Macro",171.3,8.97
Vivo,Vivo_3787,Android,382.51,2025,2392,3402,78.7,Glass,7,2,5.2,WiFi 6,Snapdragon 778G,8,128,6.38,LCD,60,4826,18,64,32,Macro,175.5,7.09
Sony,Sony_7901,Android,407.19,2020,2715,3472,90.82,Plastic,5,2,5.2,WiFi 6,Snapdragon 778G,6,64,5.95,OLED,144,6189,45,50,50,"Wide, Depth, Macro",199.9,7.34
Realme,Realme_4778,Android,304.06,2021,2514,2877,80.92,Metal,4,2,5.2,WiFi 6E,Exynos 1380,8,64,6.52,AMOLED,60,5317,18,50,50,"Ultra-Wide, Wide, Macro, Depth",186.7,7.64
Xiaomi,Xiaomi_6763,Android,459.84,2021,3771,3942,82.29,Plastic,4,2,5.1,WiFi 5,Snapdragon 778G,8,128,5.87,AMOLED,120,4688,65,64,50,"Macro, Telephoto",192.7,9.2
OnePlus,OnePlus_8877,Android,696.05,2020,5032,6717,80.57,Plastic,5,1,5.3,WiFi 6,Snapdragon 8 Gen 2,8,256,6.83,OLED,60,6462,100,108,32,"Depth, Telephoto",181.8,8.14
OnePlus,OnePlus_3478,Android,684.36,2022,4488,6586,94.45,Glass,6,2,5,WiFi 6E,A17 Bionic,12,512,6.37,OLED,120,5834,45,108,8,"Depth, Telephoto",190.4,7.82
OnePlus,OnePlus_1013,Android,676.8,2022,5555,6767,85.95,Glass,6,2,4.2,WiFi 6,Snapdragon 8 Gen 2,8,512,6.13,OLED,120,4368,25,50,50,"Macro, Wide",202.1,8.4
Motorola,Motorola_6207,Android,490.91,2022,3732,4345,85.66,Plastic,6,2,5.2,WiFi 6,Exynos 1380,8,128,5.95,OLED,60,4598,45,50,50,Macro,154.9,9.24
Motorola,Motorola_5034,Android,381.73,2025,2337,2825,86.18,Glass,5,2,5,WiFi 6,Snapdragon 778G,8,256,6.39,LCD,90,5387,45,108,50,"Wide, Telephoto",192,8.98
Xiaomi,Xiaomi_3585,Android,377.97,2023,2048,3494,75.3,Glass,4,1,5.2,WiFi 5,Snapdragon 778G,12,256,6.61,LCD,60,5245,45,64,32,"Depth, Ultra-Wide, Wide",190.9,8.77
Xiaomi,Xiaomi_1531,Android,249.36,2019,958,2468,93.42,Metal,3,2,4.2,WiFi 6,Dimensity 6020,4,128,5.87,AMOLED,90,5577,45,48,32,"Ultra-Wide, Macro",202.1,7.14
Motorola,Motorola_3659,Android,427.92,2025,3418,3818,76.56,Plastic,3,2,5,WiFi 6,Dimensity 900,12,128,6.26,LCD,144,4904,65,50,16,"Telephoto, Wide, Depth, Ultra-Wide",192.2,9.17
Vivo,Vivo_8834,Android,191.35,2018,1004,2323,92.59,Plastic,5,1,5,WiFi 6,Helio G85,4,64,6.16,LCD,60,4714,33,48,32,"Macro, Wide, Telephoto, Depth",188.1,7.74
Google,Google_4548,Android,880.48,2022,6323,8314,90.23,Glass,3,1,4.2,WiFi 6E,A17 Bionic,12,512,6.55,AMOLED,120,5079,25,108,16,"Ultra-Wide, Telephoto, Macro, Depth",184.9,7.24
Xiaomi,Xiaomi_1051,Android,296.19,2024,1761,2270,91.57,Plastic,7,1,5.3,WiFi 6,Snapdragon 778G,12,128,6.42,OLED,90,6622,33,64,16,Ultra-Wide,171.9,8.82
Samsung,Samsung_7031,Android,827.14,2018,6436,8036,84.93,Metal,4,2,5.3,WiFi 6,A17 Bionic,16,256,5.95,AMOLED,120,4824,25,108,50,"Telephoto, Macro",189,8.13
Sony,Sony_2952,Android,326.01,2022,2942,2505,84.74,Plastic,6,2,5.3,WiFi 6,Exynos 1380,12,128,5.63,LCD,60,4220,45,50,50,Ultra-Wide,175.6,8.81
Motorola,Motorola_4218,Android,74.37,2023,869,390,85.47,Metal,5,2,5.1,WiFi 6E,Helio G85,6,64,6.38,LCD,60,5551,18,13,32,"Ultra-Wide, Wide",197.7,8.85
Sony,Sony_1878,Android,318.31,2024,2647,3248,82.22,Plastic,7,2,5.1,WiFi 6E,Dimensity 900,8,128,6.54,LCD,60,5498,65,50,8,"Wide, Ultra-Wide",197,8.86
Realme,Realme_1558,Android,147.89,2020,2004,1274,81.23,Metal,7,1,5,WiFi 6E,Snapdragon 680,3,64,5.86,LCD,60,5459,18,48,50,"Macro, Ultra-Wide, Telephoto",204.1,8.51
Vivo,Vivo_9770,Android,256.43,2024,1575,2812,94.48,Plastic,3,1,5.1,WiFi 6,Dimensity 6020,6,256,6.87,LCD,60,5339,25,13,50,"Macro, Depth",228.8,8.58
Sony,Sony_9276,Android,537.3,2019,4155,5038,84.88,Glass,2,2,4.2,WiFi 6,Dimensity 900,8,64,6.56,LCD,144,4959,33,108,50,"Telephoto, Wide, Ultra-Wide",148.2,7.67
Vivo,Vivo_9159,Android,438.03,2018,3043,4938,81.68,Plastic,7,2,5.3,WiFi 6,Exynos 1380,6,512,6.08,LCD,120,5768,65,64,16,"Ultra-Wide, Macro",194.7,9.39
OnePlus,OnePlus_2125,Android,688.32,2023,4774,6537,77.9,Metal,3,2,4.2,WiFi 5,Snapdragon 8 Gen 2,12,64,6.33,AMOLED,144,5351,65,108,16,"Wide, Telephoto, Depth, Macro",201.6,9.23
Apple,Apple_1492,iOS,904.59,2022,7081,8972,87.37,Metal,2,1,5.2,WiFi 6E,A17 Bionic,8,64,6.41,AMOLED,120,3300,18,50,8,"Macro, Telephoto",221.6,9.34
Oppo,Oppo_9073,Android,378.62,2021,2266,2863,75.61,Plastic,5,2,5.1,WiFi 6E,Exynos 1380,6,64,6.27,AMOLED,60,4213,65,64,50,"Telephoto, Ultra-Wide",217.8,8.75
Google,Google_4783,Android,925.09,2019,7513,8899,79.93,Plastic,2,2,5.2,WiFi 5,A17 Bionic,16,64,5.8,OLED,120,3671,25,200,8,"Telephoto, Ultra-Wide, Wide",162.9,8.02
Samsung,Samsung_1160,Android,124.87,2024,1120,1127,91.55,Glass,6,2,5.1,WiFi 6,Snapdragon 680,3,128,6.7,LCD,120,6705,65,48,8,"Telephoto, Macro",189.2,7.83
Apple,Apple_1860,iOS,1104.55,2023,8404,10670,86.09,Metal,3,2,5,WiFi 5,Snapdragon 8 Gen 2,12,128,6.58,OLED,60,3304,65,108,16,"Depth, Telephoto",206.7,7.71
Motorola,Motorola_4377,Android,265.04,2020,1536,2278,78.9,Plastic,7,2,5,WiFi 6,Helio G85,3,256,6.24,AMOLED,120,4892,18,48,50,Macro,175.9,7.45
Motorola,Motorola_2998,Android,496.01,2023,3526,4739,82.59,Plastic,6,2,4.2,WiFi 6E,Snapdragon 778G,6,64,6.4,AMOLED,120,4680,100,50,50,"Macro, Ultra-Wide, Depth",216.9,8.02
Oppo,Oppo_1895,Android,346.14,2021,1870,2960,86.5,Plastic,5,1,4.2,WiFi 5,Exynos 1380,6,64,6.27,AMOLED,144,5833,65,64,50,"Macro, Telephoto",195.6,8.96
Sony,Sony_4906,Android,402.24,2023,3281,4098,76.21,Glass,3,1,5.2,WiFi 6E,Snapdragon 778G,12,256,5.87,OLED,120,4749,18,64,16,"Macro, Depth",202.2,7.66
Oppo,Oppo_3286,Android,295.66,2020,2103,2942,86.97,Glass,6,1,5.1,WiFi 6E,Exynos 1380,8,128,6.22,LCD,144,4697,25,50,32,"Ultra-Wide, Depth, Wide",183.2,7.26
Motorola,Motorola_5236,Android,152.02,2024,1490,1544,80.2,Glass,7,1,4.2,WiFi 6,Helio G85,4,64,5.96,AMOLED,120,4093,65,50,32,"Telephoto, Ultra-Wide",162.6,7.66
OnePlus,OnePlus_8766,Android,366.37,2021,2890,3167,83.52,Metal,6,2,5.3,WiFi 6,Snapdragon 778G,8,256,5.83,OLED,90,6383,100,64,50,"Macro, Depth, Telephoto, Ultra-Wide",161,7.15
Google,Google_6312,Android,714.36,2020,5908,6164,85.15,Metal,5,2,5.1,WiFi 6E,Snapdragon 8 Gen 2,16,128,5.55,AMOLED,144,5966,25,108,16,"Telephoto, Depth",195.1,8.52
Realme,Realme_8917,Android,154.96,2022,787,1031,87.95,Metal,6,1,4.2,WiFi 6,Helio G85,4,64,6.84,OLED,90,5639,100,13,16,"Ultra-Wide, Depth",181.9,7.18
Oppo,Oppo_4689,Android,379.25,2020,3508,3427,80.33,Glass,6,2,4.2,WiFi 6E,Dimensity 900,8,128,6.62,AMOLED,90,5317,33,108,50,"Telephoto, Depth, Wide, Ultra-Wide",188.2,9.23
Xiaomi,Xiaomi_7973,Android,260.48,2020,2562,2412,77.59,Metal,5,2,5.3,WiFi 6E,Helio G85,6,64,6.64,LCD,120,5055,18,13,16,"Wide, Depth, Ultra-Wide",203.3,7.14
Samsung,Samsung_3316,Android,769.66,2022,5684,8294,91.3,Glass,7,2,5.2,WiFi 5,Snapdragon 8 Gen 2,12,128,6.42,OLED,120,5651,100,108,16,"Depth, Wide",164.3,9
Realme,Realme_1259,Android,195,2021,1333,1350,83.14,Plastic,6,1,5,WiFi 6,Dimensity 6020,3,64,5.91,AMOLED,60,5436,45,50,50,"Macro, Depth",193.1,8.39
OnePlus,OnePlus_3144,Android,682.24,2018,5023,6738,86.43,Glass,3,2,5,WiFi 5,A17 Bionic,8,128,5.59,LCD,144,4976,65,50,32,"Ultra-Wide, Wide",204.3,8.04
Vivo,Vivo_7912,Android,310.9,2024,3351,2619,90.88,Plastic,4,1,5.3,WiFi 6E,Dimensity 900,12,256,6.46,LCD,144,4898,18,64,50,"Macro, Ultra-Wide, Wide",144.9,7.24
Realme,Realme_1499,Android,306.22,2018,1472,2142,91.2,Metal,6,2,5.2,WiFi 6E,Snapdragon 778G,12,64,5.73,LCD,60,5339,65,64,16,"Macro, Ultra-Wide, Wide",160.7,7.52
Google,Google_5695,Android,992.82,2025,7768,9028,92.4,Metal,2,1,5.1,WiFi 6,A17 Bionic,8,128,6.86,AMOLED,90,6135,25,108,16,"Macro, Wide, Telephoto",197.7,7.63
Sony,Sony_1824,Android,501.57,2018,3134,3426,82.51,Plastic,3,2,5.2,WiFi 6,Exynos 1380,8,64,5.68,AMOLED,144,5579,33,50,32,"Wide, Macro, Depth",175.1,8.78
Google,Google_2513,Android,615.64,2018,4190,5091,90.34,Glass,2,1,5.2,WiFi 5,Snapdragon 778G,12,128,5.56,OLED,90,5807,45,108,50,"Ultra-Wide, Macro, Wide",198.3,7.76
Oppo,Oppo_6590,Android,259.06,2018,2386,1964,92.4,Metal,2,2,5.2,WiFi 6,Helio G85,6,128,6.79,AMOLED,60,3023,33,48,16,"Telephoto, Ultra-Wide, Depth",214.4,7.57
Xiaomi,Xiaomi_1380,Android,246.31,2022,1543,2051,77.4,Plastic,3,2,5.1,WiFi 6E,Dimensity 6020,3,128,6.08,AMOLED,60,5583,33,13,16,"Ultra-Wide, Wide",209.2,9.19
Samsung,Samsung_5064,Android,287.01,2020,2658,3238,88.21,Metal,5,2,5.2,WiFi 5,Snapdragon 778G,6,128,6.78,OLED,60,4803,100,50,50,Ultra-Wide,182.9,7.33
Sony,Sony_5883,Android,562.25,2024,2511,5110,84.51,Plastic,4,2,5.3,WiFi 6E,Snapdragon 778G,6,128,6.68,LCD,144,4877,33,64,32,"Macro, Depth",188.2,8.4
Samsung,Samsung_4045,Android,618.42,2021,4517,6524,80.45,Glass,4,2,5.1,WiFi 6E,Exynos 1380,6,512,6,AMOLED,90,4838,25,108,32,"Telephoto, Depth",210.1,9.24
Realme,Realme_2794,Android,236.78,2020,2053,2733,92.12,Glass,4,2,4.2,WiFi 6E,Dimensity 6020,3,128,6.87,OLED,90,4670,45,13,50,Ultra-Wide,187.8,9.39
Apple,Apple_9912,iOS,1261.33,2018,8534,12348,83.93,Glass,4,2,5.2,WiFi 5,A17 Bionic,8,512,6.34,OLED,90,4041,65,50,16,Ultra-Wide,185.3,9.06
Google,Google_6633,Android,1186.47,2021,7293,11401,85.03,Glass,5,2,4.2,WiFi 6,Snapdragon 8 Gen 2,8,128,6.76,LCD,90,5570,33,50,16,"Telephoto, Depth",173.6,7.65
Realme,Realme_9428,Android,226.81,2022,665,2068,91.67,Metal,3,1,5.1,WiFi 6E,Snapdragon 680,3,256,5.94,AMOLED,90,4655,33,48,16,"Wide, Depth",220.6,9.07
OnePlus,OnePlus_9784,Android,585.95,2023,4621,5659,78.48,Plastic,6,2,5.3,WiFi 5,Snapdragon 778G,6,128,6.63,LCD,60,5049,65,64,32,"Macro, Wide",197.7,8.74
Motorola,Motorola_9878,Android,201.13,2025,1479,1992,93.61,Metal,7,1,5.2,WiFi 5,Dimensity 6020,3,128,6.59,AMOLED,90,5354,33,50,32,"Macro, Telephoto, Wide",180.6,9.28
Xiaomi,Xiaomi_6934,Android,310.82,2021,2504,3354,84.37,Metal,7,2,5.3,WiFi 5,Exynos 1380,6,128,5.65,AMOLED,60,4303,45,50,50,"Ultra-Wide, Wide",184.1,8.4
Sony,Sony_6109,Android,656.1,2025,5018,6822,94.47,Glass,7,1,5,WiFi 5,Snapdragon 778G,6,256,5.93,OLED,60,4477,18,50,16,"Telephoto, Depth, Ultra-Wide",206.1,7.02
Samsung,Samsung_2898,Android,549.48,2021,4334,5126,93.7,Plastic,5,1,5,WiFi 5,Dimensity 900,8,128,6.26,AMOLED,120,4341,65,64,16,"Telephoto, Macro, Depth",212.4,8.19
Realme,Realme_3173,Android,224.32,2025,1889,1697,85.98,Glass,2,2,4.2,WiFi 6E,Snapdragon 680,3,256,6.78,OLED,90,6029,25,13,50,Ultra-Wide,188.1,8.96
Vivo,Vivo_8406,Android,207.33,2023,1731,556,83.01,Plastic,7,2,4.2,WiFi 6E,Dimensity 6020,6,128,6.53,LCD,60,5163,33,48,32,"Ultra-Wide, Wide",175.3,9.41
Sony,Sony_2483,Android,269.74,2019,1837,2974,94.15,Metal,3,2,5,WiFi 6E,Snapdragon 778G,6,64,5.97,LCD,60,5344,25,50,16,Macro,165.8,9.08
Oppo,Oppo_7466,Android,382.51,2023,2808,3821,75.83,Plastic,5,1,5.1,WiFi 6,Dimensity 900,6,128,5.93,AMOLED,144,3977,65,50,50,Ultra-Wide,188.9,7.8
Vivo,Vivo_4196,Android,306.3,2025,2760,2885,83.32,Glass,3,2,5.2,WiFi 6E,Snapdragon 778G,12,64,6.74,OLED,90,3706,25,50,32,"Ultra-Wide, Macro, Wide, Telephoto",212.7,9.04
Vivo,Vivo_2536,Android,361.09,2023,2756,2914,80.84,Glass,7,2,5,WiFi 5,Snapdragon 778G,8,64,5.85,AMOLED,60,5218,18,64,50,"Depth, Ultra-Wide, Telephoto",181.6,8.28
Google,Google_9359,Android,731.89,2018,5666,6566,92.83,Metal,3,1,5.1,WiFi 5,A17 Bionic,8,128,6.34,AMOLED,90,6054,100,50,50,"Depth, Telephoto, Wide, Ultra-Wide",223,7.66
OnePlus,OnePlus_2375,Android,426.97,2024,3573,3391,94.08,Plastic,7,1,5.2,WiFi 6E,Exynos 1380,12,64,6.77,AMOLED,90,4968,65,64,8,Ultra-Wide,129.7,8.54
OnePlus,OnePlus_1957,Android,392.24,2024,2372,3710,88.3,Metal,6,1,5,WiFi 6,Exynos 1380,8,256,6.57,AMOLED,90,5982,18,108,32,Macro,187.2,7.16
Vivo,Vivo_7319,Android,275.98,2025,1734,2804,93.39,Glass,6,2,5.1,WiFi 6,Snapdragon 778G,6,64,6.27,OLED,60,4711,45,50,32,"Depth, Ultra-Wide",178,7.17
Motorola,Motorola_6956,Android,270.92,2018,2176,2853,87.2,Glass,2,2,5.2,WiFi 6,Dimensity 900,8,128,6.79,AMOLED,60,5859,65,108,50,Ultra-Wide,167.6,9.16
Google,Google_2588,Android,698.56,2023,5420,6727,92.45,Metal,6,2,5,WiFi 6E,Snapdragon 8 Gen 2,12,128,6.4,LCD,144,6116,25,108,16,"Ultra-Wide, Depth, Macro",234.9,8.51
OnePlus,OnePlus_7562,Android,552.27,2025,4697,5805,77.22,Glass,2,2,4.2,WiFi 6E,Dimensity 900,6,64,5.65,LCD,120,4668,18,108,50,Depth,211,9.01
Realme,Realme_4990,Android,146.09,2020,1128,1518,91.95,Glass,7,2,5.2,WiFi 6E,Snapdragon 680,6,128,5.93,AMOLED,144,5308,25,50,8,"Ultra-Wide, Wide, Macro",192.5,8.78
Motorola,Motorola_7219,Android,211.19,2024,1754,1942,81.01,Glass,5,1,4.2,WiFi 6,Snapdragon 680,6,128,5.58,LCD,90,4960,65,13,32,"Ultra-Wide, Depth, Wide",199.3,8.24
Realme,Realme_2460,Android,276.61,2022,2946,2745,87.6,Plastic,7,1,5,WiFi 6,Snapdragon 778G,6,128,6,AMOLED,60,5063,33,50,16,"Ultra-Wide, Telephoto, Depth, Wide",194.5,7.52
Samsung,Samsung_3163,Android,881.78,2022,6882,8020,87.32,Glass,3,2,4.2,WiFi 6,Tensor G3,16,64,5.97,AMOLED,144,5237,33,200,16,"Ultra-Wide, Telephoto, Wide, Depth",232.9,9.38
Xiaomi,Xiaomi_8127,Android,458.91,2024,3261,4483,82.07,Plastic,7,1,5,WiFi 5,Dimensity 900,8,256,6.3,AMOLED,120,5149,65,50,8,"Macro, Wide, Ultra-Wide",179,7
Vivo,Vivo_8561,Android,293.5,2021,2317,3080,85.49,Glass,2,2,5.2,WiFi 6E,Exynos 1380,8,64,6.7,LCD,120,4837,100,108,8,"Wide, Ultra-Wide",193.3,9.05
Apple,Apple_2960,iOS,1193.86,2023,9186,11292,80.72,Metal,2,2,5,WiFi 6,Tensor G3,8,128,5.82,OLED,120,3324,45,50,50,"Macro, Telephoto",152,8.24
Motorola,Motorola_7956,Android,331.92,2023,2185,3420,86.72,Metal,2,2,5.2,WiFi 6E,Exynos 1380,12,256,6.37,LCD,144,3715,33,108,32,"Ultra-Wide, Macro",198.8,8.06
Xiaomi,Xiaomi_6402,Android,136.42,2023,893,1362,94.26,Metal,6,2,5.3,WiFi 6,Dimensity 6020,4,256,5.66,LCD,120,4280,45,50,50,"Macro, Telephoto",172.5,9.46
Samsung,Samsung_7401,Android,639.1,2018,4189,5059,82.91,Plastic,2,2,5.1,WiFi 6E,Snapdragon 778G,6,512,6.26,OLED,120,5125,65,50,50,"Wide, Telephoto",178.5,7.83
OnePlus,OnePlus_3071,Android,499.62,2025,3687,5226,84.61,Plastic,4,2,4.2,WiFi 6E,Snapdragon 778G,6,128,6.49,AMOLED,90,6785,65,108,8,"Depth, Macro, Wide",229.3,8
Oppo,Oppo_3665,Android,360.2,2024,2542,4126,84.58,Metal,5,1,5.1,WiFi 6E,Snapdragon 778G,6,128,5.68,LCD,60,5074,25,108,32,Wide,206.8,8.38
Sony,Sony_2363,Android,358.92,2024,2261,3387,93.64,Metal,2,1,5.3,WiFi 6E,Snapdragon 778G,6,128,6.07,LCD,144,5299,45,108,32,"Depth, Telephoto, Ultra-Wide",184.2,8.23
Motorola,Motorola_4484,Android,271.56,2020,2616,2475,91.99,Metal,3,1,5,WiFi 6E,Exynos 1380,6,64,6.22,LCD,60,5596,65,50,16,"Depth, Telephoto",182.4,9.43
Oppo,Oppo_2800,Android,511.59,2022,3765,3991,81.35,Metal,2,2,5.3,WiFi 6,Snapdragon 778G,6,128,6.57,OLED,120,3929,18,64,16,"Macro, Depth",212.7,9.38
Oppo,Oppo_2220,Android,315.95,2019,2029,3098,91.88,Glass,6,1,5.1,WiFi 6,Dimensity 900,12,128,5.68,AMOLED,60,4042,18,64,50,Ultra-Wide,187,8.02
Apple,Apple_4538,iOS,1233.93,2021,9864,11949,76.81,Metal,6,2,5.3,WiFi 5,Snapdragon 8 Gen 2,8,128,6.69,OLED,90,3744,65,50,50,"Macro, Telephoto, Wide, Depth",199.4,7.22
Realme,Realme_1619,Android,333.33,2018,2122,3981,92.56,Glass,6,1,5.1,WiFi 5,Dimensity 900,8,128,6.06,OLED,60,5714,45,108,50,"Macro, Ultra-Wide, Depth",223.7,8.1
OnePlus,OnePlus_6426,Android,392.42,2021,2982,3220,90.66,Metal,7,1,5.1,WiFi 6,Snapdragon 778G,8,64,5.83,LCD,60,4707,18,64,8,"Wide, Depth",193.7,7.3
Samsung,Samsung_6376,Android,794.91,2024,6317,7277,92.86,Plastic,6,2,5.1,WiFi 5,Tensor G3,8,128,5.55,AMOLED,120,4359,18,108,50,"Depth, Macro, Telephoto, Ultra-Wide",202,8.43
Apple,Apple_3286,iOS,1511.34,2021,11441,13955,77.02,Metal,3,1,5,WiFi 5,Snapdragon 8 Gen 2,8,128,6.09,AMOLED,120,3433,100,108,8,"Macro, Telephoto",196.7,9.43
Vivo,Vivo_9260,Android,394.9,2021,2307,3179,76.4,Plastic,6,2,4.2,WiFi 5,Snapdragon 778G,6,256,6.46,AMOLED,120,7057,65,108,16,"Wide, Ultra-Wide, Depth",168.9,7.66
OnePlus,OnePlus_4872,Android,300.83,2025,2907,4064,87.39,Glass,5,2,5.1,WiFi 6,Exynos 1380,6,128,5.91,LCD,120,5865,100,64,50,"Ultra-Wide, Depth",190.6,8.34
OnePlus,OnePlus_4233,Android,514.45,2020,3664,5231,79.84,Plastic,6,1,5.1,WiFi 6E,Snapdragon 778G,12,512,6.2,LCD,60,5635,33,50,32,"Wide, Ultra-Wide, Depth",221.6,9.27
Google,Google_5898,Android,809.54,2020,5811,8037,81.23,Plastic,5,1,5.1,WiFi 5,Snapdragon 8 Gen 2,16,512,5.71,OLED,120,5076,18,108,50,"Ultra-Wide, Telephoto",224.1,7.68
Samsung,Samsung_4215,Android,197.73,2025,1001,1114,94.21,Plastic,7,1,4.2,WiFi 6,Helio G85,6,256,6.36,OLED,60,4513,18,48,8,"Macro, Wide",177.8,8.26
Sony,Sony_1130,Android,779.55,2022,6682,7379,85.25,Glass,6,2,5.1,WiFi 6,Tensor G3,16,512,6.09,OLED,120,4281,18,50,32,"Wide, Depth, Telephoto",214.6,7.47
Vivo,Vivo_6297,Android,425.73,2020,3724,4215,85.65,Metal,4,2,5.3,WiFi 6,Snapdragon 778G,12,128,6.69,AMOLED,60,4760,25,108,32,Ultra-Wide,201.6,8.13
Samsung,Samsung_1308,Android,448.26,2019,2548,3948,89.33,Glass,5,2,4.2,WiFi 6E,Dimensity 900,12,256,5.7,LCD,90,5515,33,50,50,"Ultra-Wide, Telephoto",176.7,8.22
Vivo,Vivo_4198,Android,308.01,2019,3284,2530,78.31,Plastic,3,2,5.2,WiFi 5,Exynos 1380,6,256,6.21,LCD,60,6313,65,50,16,"Ultra-Wide, Depth",193.1,7.83
Samsung,Samsung_2741,Android,895.33,2019,6803,7413,77.38,Metal,4,1,5.1,WiFi 5,Tensor G3,16,128,5.97,AMOLED,120,6178,25,108,32,"Macro, Telephoto",186.3,7.6
Oppo,Oppo_6259,Android,343.94,2025,2715,3385,76.88,Metal,6,1,5.2,WiFi 6E,Snapdragon 778G,8,128,6.57,LCD,120,7127,25,64,32,"Wide, Telephoto, Ultra-Wide",199.2,8.81
Samsung,Samsung_4301,Android,892.3,2019,7036,8315,83.78,Plastic,7,1,4.2,WiFi 6,Tensor G3,12,256,6.05,OLED,120,6291,33,200,50,"Depth, Telephoto",147.1,8.33
OnePlus,OnePlus_4953,Android,376.31,2021,3509,3342,89.28,Glass,4,1,5.2,WiFi 6E,Dimensity 900,12,128,5.98,AMOLED,90,4368,33,50,50,"Depth, Macro, Telephoto",202.3,8.1
Samsung,Samsung_9254,Android,405.59,2025,4073,3759,91.38,Plastic,7,1,5,WiFi 6E,Exynos 1380,12,512,6.22,LCD,60,4908,65,64,50,"Wide, Telephoto, Depth",180.6,7.36
Apple,Apple_1775,iOS,1403.79,2019,10967,12505,80.15,Plastic,2,1,5.1,WiFi 6,Snapdragon 8 Gen 2,16,64,6.69,AMOLED,90,3687,18,108,50,Depth,228.9,8.99
Oppo,Oppo_7225,Android,560.26,2019,4785,5688,93.75,Glass,7,1,5,WiFi 6E,Exynos 1380,8,256,6.32,LCD,120,5487,25,64,50,"Telephoto, Depth, Wide",207.2,8.45
Oppo,Oppo_1810,Android,216.35,2020,1825,2294,76.23,Plastic,6,1,5,WiFi 6E,Snapdragon 680,3,256,6.26,LCD,120,5425,45,48,16,Wide,199.4,7.21
Google,Google_7970,Android,861.91,2023,6650,6980,82.76,Plastic,3,1,5.1,WiFi 6E,Tensor G3,12,256,6.58,AMOLED,120,5594,100,108,32,"Wide, Depth",190.9,8.86
Xiaomi,Xiaomi_6341,Android,256.08,2018,2429,2735,75.53,Metal,4,2,5.2,WiFi 6,Helio G85,6,128,6.36,AMOLED,60,3944,45,48,50,Depth,213.1,9.14
Motorola,Motorola_6528,Android,407.98,2024,3002,3746,84.27,Metal,3,1,5.2,WiFi 6,Exynos 1380,8,512,6.46,AMOLED,90,4772,100,50,8,"Ultra-Wide, Macro",173.7,7.72
Oppo,Oppo_7208,Android,202.04,2019,1325,2038,86.7,Glass,2,1,5,WiFi 6,Snapdragon 680,6,256,6.43,OLED,144,4271,18,48,32,"Depth, Telephoto",173.7,8.8
Vivo,Vivo_3886,Android,335.25,2025,1629,3342,92.34,Metal,3,2,5.1,WiFi 5,Exynos 1380,12,64,6.08,AMOLED,144,5686,100,50,32,"Telephoto, Wide, Depth",160.7,8.38
Google,Google_1975,Android,854.62,2019,6826,7836,82.95,Plastic,7,1,5.1,WiFi 6E,Snapdragon 8 Gen 2,16,256,5.79,AMOLED,120,5056,18,200,8,"Macro, Depth, Wide",209.6,8.99
Apple,Apple_8296,iOS,1264.38,2023,9962,12774,94.69,Metal,5,2,5.3,WiFi 6E,A17 Bionic,12,512,6.81,OLED,120,3511,45,108,8,"Ultra-Wide, Depth",179.4,9.27
Xiaomi,Xiaomi_6379,Android,315.1,2023,2223,2965,79.32,Glass,4,2,4.2,WiFi 6E,Exynos 1380,12,256,5.76,LCD,60,4529,65,64,8,"Depth, Telephoto, Ultra-Wide",184.1,7.18
Xiaomi,Xiaomi_4675,Android,315.03,2021,2540,2684,91.19,Glass,2,1,5.1,WiFi 6,Dimensity 900,6,128,5.7,OLED,120,3291,100,64,32,"Telephoto, Ultra-Wide, Macro",204.4,8.5
Samsung,Samsung_8859,Android,565.65,2024,4606,5052,87.22,Glass,3,1,4.2,WiFi 6E,Exynos 1380,12,64,6.48,AMOLED,90,3222,65,64,50,"Ultra-Wide, Macro, Depth",200.4,8.4
OnePlus,OnePlus_5913,Android,914.71,2025,7019,8978,88.57,Glass,4,1,5,WiFi 6E,A17 Bionic,8,128,5.95,AMOLED,120,6047,65,50,8,Ultra-Wide,194.2,7.5
OnePlus,OnePlus_6927,Android,565.74,2022,3908,6006,81,Plastic,3,2,5.3,WiFi 5,Exynos 1380,8,512,5.99,AMOLED,90,4383,18,50,50,Telephoto,186.3,9.41
Sony,Sony_8461,Android,280.73,2018,2297,1593,76.11,Plastic,3,2,5.3,WiFi 6E,Snapdragon 778G,12,128,6.19,AMOLED,60,4907,33,108,50,"Depth, Macro",201.9,7.36
