brand,os,launch_year,gpu_score,cpu_score,screen_to_body_ratio,build_material,colors_available,warranty_years,bluetooth_version,wifi_version,chipset,ram_gb,storage_gb,display_size_inch,display_type,refresh_rate_hz,battery_mah,fast_charging_w,rear_camera_mp,front_camera_mp,camera_setup,weight_g,thickness_mm
Realme,Android,2020,1501,2750,76.82,Plastic,2,2,4.2,WiFi 5,Dimensity 6020,6,128,6.77,LCD,60,5585,33,48,16,Other,197.9,7.1
Motorola,Android,2020,3205,3451,76.01,Plastic,4,1,5.1,WiFi 6,Snapdragon 778G,8,256,6.42,AMOLED,144,5034,45,64,50,Wide,167.3,7.31
Motorola,Android,2023,1377,3224,84.59,Plastic,6,2,5.0,WiFi 6E,Dimensity 900,12,256,6.57,LCD,60,5474,65,108,16,Other,191.4,8.53
OnePlus,Android,2023,5240,7332,78.49,Metal,6,1,5.1,WiFi 5,Snapdragon 8 Gen 2,8,64,6.12,AMOLED,60,4997,45,200,8,"Telephoto, Ultra-Wide",155.0,8.65
Realme,Android,2018,1208,1586,76.13,Metal,2,1,5.1,WiFi 5,Dimensity 6020,6,256,5.68,AMOLED,90,3876,45,13,32,Telephoto,124.9,9.01
Google,Android,2025,7524,9751,89.95,Metal,2,2,5.0,WiFi 5,Snapdragon 8 Gen 2,12,128,6.84,AMOLED,90,5344,65,50,32,Other,198.4,7.7
Oppo,Android,2022,765,2194,75.26,Glass,5,1,5.2,WiFi 6E,Dimensity 6020,6,512,5.96,LCD,144,4379,45,50,32,Wide,182.8,9.08
Samsung,Android,2023,5510,7986,94.26,Metal,6,1,4.2,WiFi 5,Tensor G3,16,512,6.48,AMOLED,144,5514,45,50,32,"Wide, Depth",207.9,7.21
Samsung,Android,2020,2815,3741,81.59,Glass,6,2,5.0,WiFi 6E,Exynos 1380,8,64,6.03,OLED,60,5622,33,50,32,"Depth, Macro",193.6,8.05
Apple,iOS,2020,8150,10158,78.63,Metal,5,2,4.2,WiFi 5,A17 Bionic,16,128,5.56,AMOLED,120,3943,100,108,50,"Ultra-Wide, Wide",223.4,8.87
Apple,iOS,2023,8157,10194,75.74,Plastic,5,1,4.2,WiFi 5,Snapdragon 8 Gen 2,8,128,6.87,OLED,90,3982,45,50,8,Other,190.6,8.25
Xiaomi,Android,2023,2537,3479,77.6,Glass,3,1,4.2,WiFi 5,Snapdragon 778G,12,512,6.65,AMOLED,60,4446,18,64,16,"Ultra-Wide, Wide",182.6,9.01
Vivo,Android,2024,985,2670,78.84,Metal,3,1,4.2,WiFi 5,Snapdragon 680,6,128,6.5,LCD,60,5526,45,50,32,Other,223.9,8.82
Realme,Android,2025,2253,3240,79.84,Metal,5,2,4.2,WiFi 6,Dimensity 900,8,128,5.85,AMOLED,60,5863,100,108,16,Other,198.5,8.47
Sony,Android,2022,4178,5479,84.58,Plastic,2,1,5.2,WiFi 5,Exynos 1380,12,128,6.6,AMOLED,120,5157,25,108,50,"Depth, Wide",150.4,9.42
Motorola,Android,2025,2693,3733,86.39,Plastic,7,2,5.1,WiFi 6E,Dimensity 900,12,128,6.19,AMOLED,60,3528,25,108,32,"Depth, Ultra-Wide",198.3,8.39
OnePlus,Android,2019,3005,3754,91.81,Metal,6,2,5.3,WiFi 5,Snapdragon 778G,12,256,6.56,OLED,144,4259,100,64,8,Macro,183.0,8.44
Apple,iOS,2023,8282,9720,88.89,Plastic,6,2,5.1,WiFi 5,Snapdragon 8 Gen 2,12,256,6.35,OLED,90,3768,33,108,8,Other,182.7,8.97
Xiaomi,Android,2020,2961,2822,81.22,Glass,4,1,4.2,WiFi 6,Dimensity 900,6,256,6.19,AMOLED,90,6073,100,64,50,"Ultra-Wide, Macro",200.7,7.55
OnePlus,Android,2024,1859,1955,84.27,Plastic,5,2,5.2,WiFi 6E,Dimensity 6020,3,256,6.2,OLED,60,5250,45,50,32,"Macro, Telephoto",169.4,9.38
Xiaomi,Android,2023,2799,2357,94.7,Plastic,5,1,5.0,WiFi 6,Exynos 1380,8,512,6.77,LCD,120,4790,33,64,32,"Depth, Wide",208.4,9.25
OnePlus,Android,2022,5470,7895,82.24,Plastic,2,1,5.0,WiFi 5,Snapdragon 8 Gen 2,12,512,5.78,OLED,90,5672,45,50,32,Other,176.8,9.17
Google,Android,2025,5327,6387,81.96,Glass,3,1,5.1,WiFi 6,A17 Bionic,12,128,6.03,AMOLED,120,5147,65,108,32,"Telephoto, Depth",190.7,8.73
OnePlus,Android,2019,3745,5092,83.83,Metal,4,2,5.0,WiFi 5,Exynos 1380,8,512,6.52,AMOLED,120,4478,45,108,16,Other,202.9,9.05
Oppo,Android,2025,3788,3062,82.15,Plastic,6,2,5.0,WiFi 5,Snapdragon 778G,6,512,5.54,LCD,60,5751,33,108,32,"Ultra-Wide, Macro",181.4,8.39
Sony,Android,2023,323,1697,76.42,Glass,7,1,5.3,WiFi 5,Helio G85,6,128,6.39,LCD,120,5194,25,50,32,Other,179.4,7.71
Sony,Android,2025,3606,4647,93.64,Metal,5,1,5.3,WiFi 6,Snapdragon 778G,6,128,5.97,LCD,120,4374,65,108,32,"Ultra-Wide, Telephoto",205.1,8.1
Google,Android,2025,5359,8073,81.93,Metal,6,1,5.1,WiFi 6E,Tensor G3,12,64,6.12,OLED,120,5771,45,200,16,Wide,169.7,8.98
Apple,iOS,2022,11397,14093,78.83,Glass,7,2,5.0,WiFi 6,Tensor G3,16,256,6.7,OLED,120,3502,100,108,50,Other,206.0,8.04
Motorola,Android,2019,1207,3094,89.82,Metal,2,1,5.3,WiFi 6E,Snapdragon 778G,8,512,5.91,LCD,144,4188,33,50,50,Other,211.0,7.45
Motorola,Android,2019,3087,4226,77.33,Metal,2,1,5.2,WiFi 5,Dimensity 900,6,128,5.79,LCD,90,4696,18,50,32,Ultra-Wide,206.3,9.18
Motorola,Android,2024,1395,2080,85.25,Metal,5,2,5.1,WiFi 6E,Helio G85,6,64,6.54,AMOLED,60,3706,100,50,50,Other,200.9,9.48
Samsung,Android,2021,3322,5565,93.02,Glass,5,2,5.2,WiFi 6E,Snapdragon 778G,8,256,6.55,AMOLED,60,4170,18,64,32,Wide,187.2,7.25
Motorola,Android,2021,2806,3211,80.16,Metal,4,2,5.3,WiFi 6,Dimensity 900,12,128,5.97,AMOLED,60,5269,33,50,50,Other,165.1,9.19
Motorola,Android,2022,2826,3582,77.72,Metal,2,2,5.2,WiFi 5,Exynos 1380,6,512,5.6,AMOLED,60,2532,18,64,32,Macro,204.5,9.32
Oppo,Android,2024,1447,2363,89.27,Plastic,3,1,5.1,WiFi 5,Snapdragon 680,6,128,6.24,LCD,144,3554,18,13,8,"Macro, Telephoto",217.6,9.38
Oppo,Android,2021,1723,2255,77.79,Metal,7,1,4.2,WiFi 5,Snapdragon 680,4,256,6.52,LCD,90,5332,18,50,16,"Macro, Telephoto",175.4,9.16
Oppo,Android,2020,2465,2245,75.59,Glass,7,2,5.2,WiFi 6,Dimensity 900,8,128,5.94,AMOLED,60,4188,18,50,16,Other,154.4,9.19
Realme,Android,2025,721,1900,88.58,Plastic,5,2,5.2,WiFi 6E,Snapdragon 680,6,64,6.25,LCD,60,4326,33,13,32,Other,232.2,7.22
Oppo,Android,2019,1308,1979,79.4,Metal,6,2,5.1,WiFi 6,Dimensity 6020,3,256,5.61,OLED,90,6871,100,13,50,"Macro, Ultra-Wide",186.1,8.47
Vivo,Android,2022,2941,4026,80.02,Glass,2,2,5.3,WiFi 6,Snapdragon 778G,6,128,5.58,AMOLED,60,4533,18,50,50,Ultra-Wide,167.7,8.68
OnePlus,Android,2020,986,2815,88.23,Glass,2,1,4.2,WiFi 6,Helio G85,6,64,6.06,OLED,120,4609,25,48,32,Macro,189.1,7.61
Sony,Android,2020,3797,3280,86.07,Metal,4,2,5.3,WiFi 6,Snapdragon 778G,8,64,6.66,LCD,120,5514,33,64,32,Other,174.3,7.94
Sony,Android,2019,4943,7623,80.51,Plastic,5,2,5.3,WiFi 6E,A17 Bionic,12,64,5.97,OLED,120,5832,100,200,16,Other,214.1,8.89
OnePlus,Android,2021,3218,3761,83.68,Glass,3,2,5.1,WiFi 6,Snapdragon 778G,6,128,6.83,OLED,60,4819,33,108,32,Other,166.2,8.27
Vivo,Android,2024,3512,4281,88.27,Metal,7,1,5.2,WiFi 6E,Exynos 1380,12,128,5.61,AMOLED,60,3743,18,64,16,"Ultra-Wide, Telephoto",214.6,9.43
Realme,Android,2021,2777,3355,90.37,Plastic,5,1,4.2,WiFi 5,Dimensity 900,12,512,6.81,AMOLED,60,5214,18,108,16,Other,212.4,7.08
Samsung,Android,2021,4016,5002,82.04,Glass,3,1,5.0,WiFi 5,Dimensity 900,8,256,6.89,LCD,90,3474,45,50,50,Telephoto,170.5,7.99
Samsung,Android,2023,1927,1914,81.62,Metal,6,1,5.3,WiFi 6,Exynos 1380,12,128,6.36,LCD,60,6491,33,64,16,Other,217.0,7.98
Realme,Android,2025,2279,3383,83.99,Metal,7,1,5.2,WiFi 5,Snapdragon 778G,8,128,6.84,AMOLED,90,5715,65,64,32,Other,179.2,9.49
Google,Android,2023,9199,10665,89.03,Plastic,2,2,5.2,WiFi 6,Snapdragon 8 Gen 2,12,128,6.48,OLED,120,5190,18,50,32,Other,177.9,8.86
Sony,Android,2020,2007,2132,87.95,Glass,6,2,5.0,WiFi 6,Snapdragon 680,6,512,6.73,LCD,90,4658,25,48,32,Other,196.2,9.16
Motorola,Android,2024,476,1429,80.85,Metal,7,2,5.2,WiFi 6E,Snapdragon 680,4,128,6.6,AMOLED,60,6031,25,48,50,Macro,173.7,9.13
Google,Android,2019,6672,8855,81.61,Plastic,3,1,5.1,WiFi 6,Tensor G3,8,128,6.03,OLED,90,4254,25,108,50,Macro,221.2,7.77
OnePlus,Android,2025,3136,5192,94.66,Glass,3,2,5.3,WiFi 5,Snapdragon 778G,12,128,6.8,LCD,60,5325,65,64,16,Other,192.9,8.97
Sony,Android,2021,3183,5247,87.85,Glass,7,2,5.3,WiFi 5,Dimensity 900,6,128,5.79,AMOLED,60,4976,18,50,50,Ultra-Wide,217.4,8.56
Google,Android,2025,8330,10555,76.63,Glass,5,2,5.3,WiFi 5,A17 Bionic,16,64,5.97,OLED,120,4494,65,200,16,Ultra-Wide,168.8,9.11
Xiaomi,Android,2020,3226,4673,76.48,Metal,6,1,5.2,WiFi 6E,Exynos 1380,6,128,6.39,OLED,60,5635,100,108,50,Telephoto,215.5,8.92
Sony,Android,2022,1769,2408,76.87,Plastic,7,2,5.1,WiFi 6E,Snapdragon 778G,6,512,6.4,OLED,90,4900,100,108,16,Macro,204.2,8.27
Sony,Android,2025,710,643,82.02,Glass,6,1,5.0,WiFi 5,Helio G85,6,128,6.16,AMOLED,90,4683,18,13,16,"Depth, Wide",177.5,8.47
Sony,Android,2018,4234,3344,75.44,Metal,5,2,5.3,WiFi 6E,Snapdragon 778G,6,128,5.85,LCD,120,5831,100,50,8,Depth,173.0,7.08
Motorola,Android,2025,2874,3243,88.33,Glass,5,1,5.1,WiFi 5,Dimensity 900,8,128,5.89,AMOLED,120,5697,33,108,8,"Macro, Wide",203.2,8.77
Google,Android,2025,8008,11054,84.97,Metal,4,1,5.2,WiFi 6,Snapdragon 8 Gen 2,8,64,6.63,AMOLED,144,3154,65,200,16,Macro,208.9,8.64
Realme,Android,2022,1961,1957,81.29,Plastic,5,1,4.2,WiFi 6,Helio G85,4,64,6.4,LCD,144,3761,45,48,50,Other,194.3,7.28
Oppo,Android,2021,1249,2226,85.92,Metal,6,2,5.0,WiFi 6,Helio G85,3,64,6.73,OLED,120,4316,33,50,32,"Telephoto, Depth",202.9,7.75
Sony,Android,2023,3219,4114,90.12,Glass,5,1,5.0,WiFi 5,Dimensity 900,6,64,6.13,AMOLED,60,4703,18,108,50,Other,194.2,9.0
Oppo,Android,2021,4773,5423,80.14,Glass,2,2,5.0,WiFi 5,Snapdragon 778G,6,64,5.93,LCD,120,5791,45,108,32,Other,194.6,8.23
Motorola,Android,2018,836,1092,75.47,Metal,7,1,5.1,WiFi 6,Helio G85,3,256,6.73,AMOLED,60,4712,18,50,50,Other,198.9,8.22
Samsung,Android,2024,3847,4551,86.09,Metal,6,1,5.1,WiFi 6,Exynos 1380,12,64,6.19,LCD,144,4612,100,64,32,Other,182.9,8.83
OnePlus,Android,2020,3910,5471,90.06,Plastic,2,1,4.2,WiFi 6,Exynos 1380,8,128,6.78,OLED,90,4428,25,50,16,"Macro, Wide",182.5,7.42
Sony,Android,2021,3618,4048,93.67,Plastic,3,1,4.2,WiFi 5,Snapdragon 778G,8,512,6.26,LCD,60,5228,18,64,32,"Ultra-Wide, Macro",210.7,8.32
Motorola,Android,2023,4257,5445,90.9,Metal,2,1,5.1,WiFi 5,Exynos 1380,6,256,6.75,LCD,60,6459,18,50,8,"Ultra-Wide, Telephoto",183.6,8.23
Google,Android,2018,5549,6805,93.12,Plastic,4,2,5.2,WiFi 6E,Snapdragon 8 Gen 2,12,256,6.29,OLED,90,4644,25,108,32,"Telephoto, Wide",207.1,7.96
Oppo,Android,2021,2660,4089,88.33,Glass,5,1,5.3,WiFi 6E,Exynos 1380,6,128,6.67,AMOLED,90,4591,65,108,8,"Depth, Telephoto",203.3,9.17
Sony,Android,2024,3665,5009,77.7,Metal,2,1,4.2,WiFi 6,Dimensity 900,8,64,5.97,LCD,60,5016,33,64,32,Other,203.6,7.5
OnePlus,Android,2022,3302,4553,80.7,Plastic,4,1,5.3,WiFi 6,Dimensity 900,8,64,5.51,AMOLED,120,3820,100,64,50,"Depth, Ultra-Wide",192.0,7.27
OnePlus,Android,2020,5451,6850,87.7,Metal,5,1,5.1,WiFi 6,A17 Bionic,12,64,5.74,AMOLED,120,4843,33,108,32,Other,197.6,8.15
Oppo,Android,2019,3661,3179,82.01,Glass,2,2,5.2,WiFi 6E,Dimensity 900,6,256,6.85,LCD,60,7028,33,108,50,Other,208.2,8.17
Google,Android,2024,6052,7696,86.67,Plastic,5,2,5.0,WiFi 5,Snapdragon 8 Gen 2,8,64,5.52,OLED,120,4553,100,108,32,Telephoto,200.2,8.3
Google,Android,2023,7083,7598,77.4,Glass,7,2,5.2,WiFi 6,A17 Bionic,16,128,6.8,AMOLED,120,5400,33,50,50,Other,224.9,8.97
OnePlus,Android,2025,6865,8944,90.11,Plastic,7,1,5.1,WiFi 6E,Snapdragon 8 Gen 2,12,64,6.56,OLED,90,6122,25,200,16,"Wide, Ultra-Wide",176.2,7.34
OnePlus,Android,2022,4629,6876,81.56,Metal,2,1,5.1,WiFi 6,A17 Bionic,12,128,6.65,OLED,120,5346,18,108,50,"Wide, Macro",228.1,8.8
Vivo,Android,2023,2241,2082,86.9,Glass,2,2,5.0,WiFi 6E,Helio G85,4,64,6.72,OLED,90,5121,33,50,32,"Telephoto, Macro",175.7,9.2
Motorola,Android,2022,603,1439,84.57,Glass,5,1,5.1,WiFi 6E,Dimensity 6020,4,256,5.91,LCD,90,4763,33,13,32,"Telephoto, Depth",182.1,8.59
Sony,Android,2023,3377,5563,94.35,Plastic,2,1,4.2,WiFi 6E,Dimensity 900,6,128,6.68,AMOLED,60,4786,25,64,32,Other,216.1,7.77
Samsung,Android,2024,4852,5939,80.53,Plastic,7,1,5.1,WiFi 5,Exynos 1380,8,128,5.89,LCD,90,5719,45,108,16,Other,196.0,7.13
Xiaomi,Android,2023,2269,3606,75.23,Glass,5,1,5.1,WiFi 5,Snapdragon 778G,12,128,6.55,LCD,60,5409,45,64,32,"Telephoto, Depth",186.6,7.03
Apple,iOS,2018,9938,11494,75.88,Glass,2,2,5.0,WiFi 6E,Snapdragon 8 Gen 2,8,64,5.69,OLED,60,3148,100,50,16,Other,203.0,8.31
Samsung,Android,2018,5348,5894,90.51,Glass,6,1,5.2,WiFi 5,Dimensity 900,8,128,6.55,LCD,90,5236,18,108,50,"Depth, Macro",180.7,8.01
Vivo,Android,2020,1161,1129,90.5,Metal,7,1,5.0,WiFi 5,Dimensity 6020,3,128,6.26,AMOLED,60,4525,33,13,16,Depth,204.4,7.53
Apple,iOS,2022,5882,8905,93.83,Metal,4,1,4.2,WiFi 6E,Snapdragon 8 Gen 2,12,128,6.09,OLED,90,3433,33,50,16,Other,183.8,8.97
Apple,iOS,2021,10174,12307,82.68,Plastic,7,1,4.2,WiFi 6,Snapdragon 8 Gen 2,16,256,6.75,AMOLED,144,3691,25,200,8,Ultra-Wide,208.9,9.1
Motorola,Android,2019,1351,335,87.99,Plastic,2,1,5.3,WiFi 5,Helio G85,4,512,6.29,AMOLED,120,5699,25,50,8,Other,207.6,9.28
Oppo,Android,2018,2977,2777,81.46,Metal,4,2,5.2,WiFi 6,Dimensity 900,6,256,6.76,AMOLED,90,5633,33,108,50,Other,179.7,8.85
Oppo,Android,2018,3854,4204,77.12,Glass,5,1,5.1,WiFi 6,Exynos 1380,6,512,6.75,LCD,90,4738,65,64,8,Other,194.4,8.23
Motorola,Android,2024,353,256,78.39,Metal,2,1,5.3,WiFi 6,Helio G85,3,128,6.83,OLED,60,6269,33,50,50,Wide,168.2,7.85
Motorola,Android,2023,295,2040,88.74,Plastic,3,2,5.3,WiFi 5,Snapdragon 680,4,128,5.56,LCD,90,3802,33,50,16,"Depth, Wide",185.8,9.13
Sony,Android,2025,3645,4999,92.4,Glass,3,1,4.2,WiFi 6,Dimensity 900,12,64,5.66,AMOLED,60,6778,25,64,16,Other,185.8,9.41
Xiaomi,Android,2025,2485,2666,78.08,Metal,3,1,5.2,WiFi 6,Dimensity 900,6,256,6.53,OLED,144,4984,65,64,16,"Wide, Depth",163.0,7.69
Xiaomi,Android,2020,1231,2398,92.52,Plastic,3,2,5.3,WiFi 6E,Helio G85,4,128,6.83,AMOLED,144,5313,33,48,8,"Wide, Macro",227.3,7.22
OnePlus,Android,2021,6102,7963,84.24,Plastic,7,2,5.0,WiFi 6,Tensor G3,16,128,6.68,OLED,120,5436,45,50,32,Other,205.2,9.45
Xiaomi,Android,2020,1567,1893,77.78,Glass,3,2,4.2,WiFi 6,Dimensity 6020,4,128,6.64,LCD,60,5120,18,13,16,Telephoto,192.7,8.9
Oppo,Android,2018,2515,3392,82.49,Glass,7,1,5.1,WiFi 5,Snapdragon 778G,6,128,5.72,AMOLED,120,5834,25,50,8,"Ultra-Wide, Wide",163.7,7.75
Oppo,Android,2022,1315,3147,78.5,Plastic,2,1,5.3,WiFi 5,Snapdragon 778G,6,256,5.53,LCD,60,5184,18,50,32,Other,172.1,7.98
Sony,Android,2024,2762,3305,86.72,Glass,4,1,5.3,WiFi 6,Dimensity 900,6,64,6.63,AMOLED,60,4601,45,50,32,"Ultra-Wide, Macro",168.9,8.34
Google,Android,2022,6576,8540,80.05,Glass,3,2,5.0,WiFi 5,A17 Bionic,16,128,6.8,OLED,90,4540,100,50,8,Depth,181.3,8.72
Oppo,Android,2019,2770,3219,94.71,Plastic,4,2,4.2,WiFi 5,Exynos 1380,8,128,6.31,LCD,90,6326,33,50,50,Ultra-Wide,192.4,8.22
Oppo,Android,2020,2103,2991,94.05,Metal,3,1,5.1,WiFi 6,Exynos 1380,6,64,6.84,AMOLED,60,5222,18,64,50,Macro,195.7,7.32
Vivo,Android,2022,3630,4274,88.0,Metal,7,2,5.3,WiFi 5,Snapdragon 778G,12,128,5.73,LCD,120,4655,65,64,32,Other,180.8,8.87
Realme,Android,2021,3031,2452,93.02,Glass,5,1,5.1,WiFi 5,Dimensity 900,12,128,6.17,LCD,120,5223,45,108,16,Other,161.6,9.49
Sony,Android,2020,757,994,84.4,Glass,3,2,5.1,WiFi 5,Helio G85,3,128,5.62,LCD,60,5483,18,48,16,Other,181.5,9.36
Realme,Android,2021,2093,825,79.27,Glass,5,2,4.2,WiFi 6E,Snapdragon 680,6,128,5.58,AMOLED,60,5355,25,48,32,"Wide, Telephoto",198.7,7.72
Apple,iOS,2023,9186,11292,80.72,Metal,2,2,5.0,WiFi 6,Tensor G3,8,128,5.82,OLED,120,3324,45,50,50,"Macro, Telephoto",152.0,8.24
OnePlus,Android,2018,2874,4436,85.24,Plastic,3,2,4.2,WiFi 6,Exynos 1380,6,128,5.93,AMOLED,60,6164,18,64,8,Other,214.5,8.12
Realme,Android,2019,1330,2203,88.97,Metal,4,2,5.2,WiFi 6,Dimensity 6020,3,256,5.74,AMOLED,90,5400,33,48,16,"Depth, Macro",177.2,8.51
Realme,Android,2024,2317,2848,81.92,Glass,4,1,5.2,WiFi 6E,Snapdragon 680,6,64,6.88,OLED,60,5640,33,50,32,"Telephoto, Macro",177.1,9.44
OnePlus,Android,2018,2045,2961,81.51,Metal,6,1,5.3,WiFi 6E,Snapdragon 778G,6,128,5.88,LCD,90,4262,25,50,16,Other,189.5,9.15
OnePlus,Android,2018,1508,2206,75.62,Plastic,3,2,5.3,WiFi 6E,Helio G85,3,128,6.64,AMOLED,60,4980,25,50,32,Macro,180.5,7.02
OnePlus,Android,2023,2500,3546,75.77,Metal,5,2,5.1,WiFi 6,Exynos 1380,12,64,6.48,LCD,60,4897,18,108,8,Wide,206.0,8.7
Sony,Android,2020,4067,5863,89.82,Metal,4,2,5.0,WiFi 6,Dimensity 900,6,128,5.94,LCD,60,5068,25,64,8,Other,207.8,8.4
Xiaomi,Android,2023,1703,3735,82.84,Glass,6,2,5.3,WiFi 6E,Exynos 1380,12,256,6.64,OLED,60,4996,33,64,16,"Wide, Telephoto",196.7,7.12
Xiaomi,Android,2020,2787,3304,76.61,Plastic,4,1,5.0,WiFi 5,Dimensity 900,6,512,6.65,AMOLED,90,4763,25,50,50,Other,177.2,9.49
OnePlus,Android,2023,5028,5448,78.2,Glass,5,2,4.2,WiFi 5,Snapdragon 778G,8,256,6.32,AMOLED,144,4932,45,50,32,"Telephoto, Depth",163.4,7.18
Realme,Android,2025,1699,2217,84.89,Plastic,2,2,5.3,WiFi 6,Dimensity 900,12,256,6.6,AMOLED,60,5381,45,64,16,Other,164.0,8.52
Motorola,Android,2023,2907,3628,81.11,Glass,6,1,4.2,WiFi 6,Snapdragon 778G,6,64,5.74,LCD,90,4791,45,64,8,Wide,151.9,8.19
Apple,iOS,2021,11216,14799,75.66,Plastic,6,2,5.0,WiFi 6E,A17 Bionic,12,128,6.5,OLED,90,2556,18,108,16,"Ultra-Wide, Wide",189.5,7.2
Realme,Android,2022,2264,2198,93.94,Plastic,4,1,5.0,WiFi 5,Exynos 1380,12,128,5.84,AMOLED,120,5843,33,64,8,Other,182.2,9.02
Vivo,Android,2025,4106,5316,87.03,Metal,6,2,5.1,WiFi 6E,Snapdragon 778G,6,512,6.49,OLED,60,4969,45,64,8,Other,195.4,8.07
OnePlus,Android,2024,2909,3199,93.39,Plastic,5,1,4.2,WiFi 6E,Dimensity 900,8,64,6.19,AMOLED,60,5687,25,108,32,"Macro, Telephoto",163.6,8.06
Motorola,Android,2018,3278,2901,75.81,Plastic,6,1,5.0,WiFi 6,Exynos 1380,6,512,6.03,LCD,60,5378,25,64,50,Other,207.7,8.65
OnePlus,Android,2018,5567,7331,82.1,Metal,7,2,5.3,WiFi 6E,A17 Bionic,12,256,6.45,AMOLED,120,5934,33,200,50,Other,186.2,7.11
Realme,Android,2018,2463,3372,76.83,Plastic,2,2,4.2,WiFi 6,Exynos 1380,6,64,6.57,AMOLED,90,4787,33,108,32,"Telephoto, Depth",124.0,8.49
Sony,Android,2019,3826,5529,90.98,Glass,6,2,5.0,WiFi 6,Dimensity 900,8,256,5.92,LCD,60,3774,33,64,50,Other,188.3,7.74
Apple,iOS,2024,6522,8561,83.29,Glass,3,1,5.2,WiFi 6,Snapdragon 8 Gen 2,12,256,5.58,OLED,144,3343,33,50,50,"Telephoto, Macro",178.3,7.23
Google,Android,2024,8065,8827,86.54,Plastic,4,1,5.2,WiFi 6E,Tensor G3,12,64,6.86,OLED,90,4921,33,108,50,Other,212.9,9.18
Motorola,Android,2025,2706,3747,93.69,Plastic,6,1,5.3,WiFi 6,Exynos 1380,6,128,6.85,OLED,60,4733,18,64,16,Other,200.5,7.06
Sony,Android,2022,2487,3873,86.48,Plastic,3,1,5.2,WiFi 5,Dimensity 900,6,256,6.29,AMOLED,120,4839,65,50,50,"Telephoto, Ultra-Wide",199.5,7.76
Realme,Android,2023,1039,2061,76.01,Plastic,2,1,4.2,WiFi 6E,Snapdragon 680,4,128,6.89,OLED,144,4709,33,48,8,Other,179.9,7.65
Vivo,Android,2021,1151,2018,89.89,Metal,7,2,5.0,WiFi 6E,Helio G85,6,512,5.91,AMOLED,90,4028,45,13,50,Other,182.5,9.15
Apple,iOS,2022,10297,12969,89.59,Metal,6,1,5.3,WiFi 6,Snapdragon 8 Gen 2,16,128,5.56,AMOLED,120,3429,100,50,16,Other,207.5,7.24
OnePlus,Android,2021,4686,6504,80.6,Glass,6,2,5.0,WiFi 6E,A17 Bionic,12,64,5.64,LCD,90,3688,25,200,32,"Telephoto, Ultra-Wide",174.6,7.05
Samsung,Android,2019,5891,7549,84.62,Metal,6,2,5.1,WiFi 6E,Snapdragon 8 Gen 2,12,256,6.76,LCD,60,4897,33,200,50,Other,220.0,7.45
Motorola,Android,2023,1807,1597,84.99,Plastic,3,2,5.3,WiFi 5,Dimensity 6020,4,128,6.05,LCD,120,5225,18,50,50,"Telephoto, Wide",194.3,8.3
Apple,iOS,2023,10903,12919,93.77,Metal,3,1,4.2,WiFi 6,A17 Bionic,8,128,6.81,OLED,120,3141,33,108,8,"Wide, Ultra-Wide",143.9,7.5
Sony,Android,2020,930,671,82.7,Plastic,2,1,5.1,WiFi 6,Snapdragon 680,6,512,6.58,LCD,60,5501,18,48,50,Other,168.6,7.14
Oppo,Android,2025,595,1195,83.66,Glass,2,1,5.3,WiFi 6,Snapdragon 680,6,128,5.85,LCD,90,4616,33,50,8,"Wide, Ultra-Wide",187.2,9.16
Google,Android,2025,8810,10836,83.52,Glass,2,2,5.1,WiFi 6E,Tensor G3,12,64,6.28,AMOLED,90,5275,65,200,32,Other,171.4,7.75
Xiaomi,Android,2023,1763,2282,86.68,Glass,4,2,5.1,WiFi 6,Dimensity 6020,6,128,5.56,AMOLED,60,4036,18,50,8,Other,176.7,9.19
Apple,iOS,2021,11314,14146,93.77,Glass,4,1,5.0,WiFi 6E,Tensor G3,12,64,5.68,AMOLED,90,3350,65,108,50,"Ultra-Wide, Telephoto",168.5,8.63
Oppo,Android,2025,3312,4019,75.4,Glass,7,1,5.1,WiFi 6,Dimensity 900,12,64,5.57,OLED,120,3318,25,108,50,Other,221.9,7.02
Sony,Android,2023,2121,3414,84.23,Plastic,2,1,4.2,WiFi 6,Exynos 1380,8,256,5.94,AMOLED,90,4881,25,64,16,"Depth, Wide",171.1,7.71
OnePlus,Android,2025,4194,5801,91.69,Metal,6,1,5.3,WiFi 5,Dimensity 900,8,256,6.56,AMOLED,60,5643,100,64,16,"Macro, Depth",171.3,7.33
Apple,iOS,2018,9434,11360,94.48,Glass,4,1,5.2,WiFi 6E,Snapdragon 8 Gen 2,12,64,5.76,OLED,60,3496,45,108,16,Depth,165.7,8.18
Google,Android,2023,8001,9511,80.53,Plastic,6,1,4.2,WiFi 6E,Snapdragon 8 Gen 2,16,64,6.46,OLED,120,4075,100,108,32,Ultra-Wide,194.8,8.11
Xiaomi,Android,2021,3256,3965,84.75,Plastic,6,1,4.2,WiFi 6,Exynos 1380,8,128,5.54,LCD,60,3099,45,108,32,Telephoto,186.3,7.24
Sony,Android,2021,2028,4538,86.36,Metal,4,2,4.2,WiFi 6,Exynos 1380,12,64,6.44,OLED,60,5315,33,50,50,Depth,190.3,7.71
Samsung,Android,2019,5733,7754,93.44,Glass,5,2,4.2,WiFi 6,Snapdragon 8 Gen 2,8,128,6.88,AMOLED,60,4850,33,108,16,Telephoto,198.3,7.8
